*** ESTE FICHERO NO TIENE VALIDEZ LEGAL COMO FACTURA ***
35762900000111731052020010900                                                                                                                                                                          .
357629000001117310520200220205001820200508R424             000742           07072213TORTA GAZPACHO FRESCA 250 JERO1311000000013500000069600000800000000100000000870000000000870001000+                 .
35762900000111731052020022020804052020051420200514         1000/20/04026866 07247711 RECARGA ORANGE               1126000001000000000007830000001000000100000078347000000078347002100+                 .
35762900000111731052020022020804062020051420200514         1000/20/04026866 07247729RECARGA LEBARA MOVIL          2926000001000000000011490000001500000100000076612000000076612002100+                 .
35762900000111731052020022020804072020051420200514         1000/20/04026866 07247732RECARGA  LLAMAYA MOVIL        3226000001000000000007640000001000000100000076364000000076364002100+                 .
35762900000111731052020022020804082020051420200514         1000/20/04026866 07247737 RECARGA DIGIMOBIL            3726000001000000000015340000002000000100000076694000000076694002100+                 .
35762900000111731052020022020804092020051520200515         1000/20/04027025 07247708RECARGA MOVISTAR              0826000001000000000007930000001000000100000079339000000079339002100+                 .
35762900000111731052020022020804102020051520200515         1000/20/04027025 07247724 RECARGA LYCAMOBILE           2426000001000000000007850000001000000100000078515000000078515002100+                 .
35762900000111731052020022020804112020051520200515         1000/20/04027025 07247737 RECARGA DIGIMOBIL            3726000001000000000015340000002000000100000076694000000076694002100+                 .
35762900000111731052020022020804122020051620200516         1000/20/04027026 07247708RECARGA MOVISTAR              0826000001000000000007930000001000000100000079339000000079339002100+                 .
35762900000111731052020022020804132020051620200516         1000/20/04027026 07247711 RECARGA ORANGE               1126000001000000000007830000001000000100000078347000000078347002100+                 .
35762900000111731052020022020804142020051620200516         1000/20/04027026 07247737 RECARGA DIGIMOBIL            3726000001000000000046020000006000000100000076694000000076694002100+                 .
35762900000111731052020022020804152020051820200518         1000/20/04027945 07247703 RECARGA VODAFONE             0326000001000000000007810000001000000100000078099000000078099002100+                 .
35762900000111731052020022020804162020051820200518         1000/20/04027945 07247708RECARGA MOVISTAR              0826000001000000000007930000001000000100000079339000000079339002100+                 .
35762900000111731052020022020804172020051820200518         1000/20/04027945 07247716RECARGA YOIGO                 1626000001000000000011650000001500000100000077686000000077686002100+                 .
35762900000111731052020022020804182020051820200518         1000/20/04027945 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
