ALALAMEDA     
ADALDEA       
APAPARTAMENTO 
AVAVENIDA     
BOBARRIO      
BLBLOQUE      
CLCALLE       
CMCAMINO      
CRCARRETERA   
CHCHALET      
CSCASERIO     
COCOLONIA     
CTCUESTA      
EDEDIFICIO    
GLGLORIETA    
GRGRUPO       
LGLUGAR       
MZMANZANA     
MCMERCADO     
MNMUNICIPIO   
PQPARQUE      
PJPASAJE      
PSPASEO       
PZPLAZA       
PBPOBLADO     
PGPOLIGONO    
PRPROLONGACION
RBRAMBLA      
RDRONDA       
TRTRAVESIA    
URURBANIZACION
